Q69YN4	3282
P05067	3184
Q9H4M7	2783
Q14258	2551
P04637	2362
Q92731	2360
Q15717	2320
P14866	2267
P01116	2226
O95786	2205
P03372	2176
P00533	1867
P01106	1847
P04629	1816
Q15058	1765
P62805	1726
P41240	1546
P31943	1536
P78317	1419
O14578	1375
Q5XPI4	1329
O14980	1321
Q9UBU9	1313
O60885	1311
P27695	1263
O94761	1230
Q15029	1213
P49116	1193
P0CG48	1186
Q13618	1147
Q13489	1138
Q9H6Z9	1129
P07900	1112
Q9HCE1	1079
Q13263	1057
Q96HY6	1056
P02545	1018
P38398	1007
Q8NFZ5	995
P11142	979
P04150	965
P49327	943
P49736	934
P55072	925
P35232	924
Q92905	923
Q9UHD9	920
O95235	917
P50222	914
O95994	886
Q9NQW6	886
O43663	868
Q02241	867
Q6UX01	865
P11021	833
O75147	782
P13569	772
O94992	766
O15294	758
Q4G0J3	757
Q14498	757
O94874	756
Q9H8V3	753
A8MQ03	737
P06748	735
Q96AG4	733
Q8IWL3	731
O95793	731
P35222	728
P08621	726
Q13619	722
Q13616	714
P68431	710
Q01844	703
P27824	697
P01112	692
P51957	688
Q09472	684
Q86VP6	683
O95817	683
P01111	681
Q99496	676
O00308	675
Q13547	675
P60484	671
P10809	669
Q9NQC7	668
P02751	668
Q7L2J0	668
Q15910	667
Q9BXW9	662
Q8TBB1	660
Q86VM9	654
P09651	654
P04843	647
Q92769	645
Q99459	640
P07948	639
P09874	632
P12830	631
Q676U5	631
P12956	630
Q08379	630
Q9NRD1	629
P04792	618
Q14999	615
P36873	614
Q13501	613
P62993	606
P62491	606
Q00839	605
Q12873	603
Q6P2Q9	600
Q14839	600
P50402	591
Q03135	589
P62258	586
P24941	585
Q6IAA8	584
P60709	583
Q12933	583
Q9Y3I1	577
Q9H444	575
P08559	574
O15400	574
P78362	573
Q15022	572
P60468	570
P46937	567
P49841	567
Q96CF2	565
Q9NRC8	556
Q13573	553
O60260	551
P20339	549
O94972	548
P62745	545
P34897	535
P10275	534
Q13620	533
O60356	526
Q5TC82	526
Q9NWS0	526
P50750	522
Q99750	522
P68400	520
P11279	518
P04626	517
Q96RK0	514
P56945	512
Q969H0	508
Q96GD4	506
P08670	502
P08238	501
Q96HA8	501
Q13185	501
P48431	501
P63279	500
P42166|P42167	498
Q16666	497
P68032	497
Q00987	497
P60953	495
P62753	495
Q7Z6Z7	493
Q7Z3S9	492
O00487	491
Q9H0W5	488
Q9Y312	487
Q9NYB0	486
P13473	486
P61019	485
Q9NZC7	484
P62807	483
Q9UMX0	478
P61081	477
O60341	474
O75530	470
Q9P0L0	470
P27694	469
P51148	465
Q07021	462
P35637	462
Q13283	461
P63104	460
P01130	460
P01308	460
P62330	458
P49411	453
P19338	452
Q15286	452
O14964	451
P08107	451
P51151	451
P27348	450
Q14103	450
P60410	450
Q9HBD1	448
O60506	445
Q15365	445
Q13520	445
P22087	444
Q93034	442
P68104	442
P62136	441
Q15323	440
P29966	439
Q07065	439
P35579	439
P14373	437
P38432	437
P17302	437
Q9BRK4	435
P34932	434
Q08117	434
P61956	432
P15927	431
Q16543	430
Q5S007	430
Q93079	429
Q92793	428
P18031	428
P15311	428
Q71U36	426
Q9UQV4	426
P31749	425
O00182	425
Q16659	423
P42704	420
P62158	419
Q9Y6K9	417
P31946	417
Q13617	416
P46013	416
Q9BXM7	414
P30153	414
O95863	412
Q8N144	412
Q9NUU6	412
P04156|F7VJQ1	412
O14965	411
Q9NPI1	411
